,word,score
1048,脂っこい,-1
1049,歯痒い,-1
1050,耳年増,-1
1051,自縄自縛,-1
1052,七転八倒,-1
1053,七面倒臭い,-1
1054,執念深い,-1
1055,質感,-1
1056,邪険,-1
1057,邪魔,-1
1058,邪魔くさい,-1
1059,邪慳,-1
1060,寂しげ,-1
1061,寂れる,-1
1062,寂寞,-1
1063,弱々しい,-1
1064,弱り目,-1
1065,弱虫,-1
1066,守銭奴,-1
1067,手ぬるい,-1
1068,手ひどい,-1
1069,手緩い,-1
1070,手狭,-1
1071,手厳しい,-1
1072,手荒,-1
1073,手荒い,-1
1074,手酷い,-1
1075,手重い,-1
1076,手痛い,-1
1077,手薄,-1
1078,受け入れ,-1
1079,受け付け,-1
1080,呪わしい,-1
1081,臭い,-1
1082,醜い,-1
1083,重々しい,-1
1084,重苦しい,-1
1085,重重しい,-1
1086,術無い,-1
1087,峻険,-1
1088,峻厳,-1
1089,峻嶮,-1
1090,暑がり,-1
1091,暑苦しい,-1
1092,女たらし,-1
1093,女女しい,-1
1094,小,-1
1095,小汚い,-1
1096,小気味,-1
1097,小賢しい,-1
1098,小心翼翼,-1
1099,小憎らしい,-1
1100,小便,-1
1101,小面憎い,-1
1102,小利口,-1
1103,小癪,-1
1104,焦れったい,-1
1105,省き,-1
1106,笑止千万,-1
1107,上っ面,-1
1108,上滑り,-1
1109,上辷り,-1
1110,冗談,-1
1111,冗長,-1
1112,冗漫,-1
1113,情け,-1
1114,情けない,-1
1115,情強,-1
1116,色あせる,-1
1117,色気,-1
1118,尻,-1
1119,尻ごみ,-1
1120,尻軽,-1
1121,尻込み,-1
1122,伸び,-1
1123,信じ,-1
1124,寝覚め,-1
1125,寝苦しい,-1
1126,心,-1
1127,心許ない,-1
1128,心許無い,-1
1129,心苦しい,-1
1130,心無い,-1
1131,心憂い,-1
1132,新鮮味,-1
1133,深み,-1
1134,身の程知らず,-1
1135,辛気,-1
1136,辛気臭い,-1
1137,人,-1
1138,人気,-1
1139,人泣かせ,-1
1140,人聞き,-1
1141,人目,-1
1142,人恋しい,-1
1143,図々しい,-1
1144,水の泡,-1
1145,水臭い,-1
1146,嵩張る,-1
1147,寸づまり,-1
1148,寸足らず,-1
1149,世間,-1
1150,世知辛い,-1
1151,凄惨,-1
1152,凄絶,-1
1153,性悪,-1
1154,生ぬるい,-1
1155,生硬,-1
1156,生煮え,-1
1157,青臭い,-1
1158,青二才,-1
1159,脆い,-1
1160,惜しい,-1
1161,惜しくも,-1
1162,拙い,-1
1163,拙劣,-1
1164,節度,-1
1165,絶体絶命,-1
1166,絶望,-1
1167,舌先三寸,-1
1168,戦闘,-1
1169,浅はか,-1
1170,浅ましい,-1
1171,浅薄,-1
1172,浅慮,-1
1173,詮無い,-1
1174,賎しい,-1
1175,疎い,-1
1176,疎か,-1
1177,疎ましい,-1
1178,疎略,-1
1179,粗削り,-1
1180,粗雑,-1
1181,粗大,-1
1182,粗暴,-1
1183,粗末,-1
1184,粗野,-1
1185,粗笨,-1
1186,素,-1
1187,素っ気,-1
1188,素っ頓狂,-1
1189,素頓狂,-1
1190,鼠輩,-1
1191,早計,-1
1192,騒々しい,-1
1193,騒がしい,-1
1194,騒然たる,-1
1195,騒騒しい,-1
1196,増悪,-1
1197,憎々しい,-1
1198,憎体,-1
1199,息苦しい,-1
1200,俗っぽい,-1
1201,俗悪,-1
1202,俗物,-1
1203,俗離れ,-1
1204,卒爾,-1
1205,遜色,-1
1206,多情,-1
1207,惰弱,-1
1208,駄目,-1
1209,耐え難い,-1
1210,態とらしい,-1
1211,態度,-1
1212,大,-1
1213,大仰,-1
1214,大愚,-1
1215,大形,-1
1216,大嫌い,-1
1217,濁る,-1
1218,嘆かわしい,-1
1219,短慮,-1
1220,男尊女卑,-1
1221,値,-1
1222,恥知らず,-1
1223,恥曝し,-1
